"timestamp","temperature_c","vibration_mm_s","pressure_kpa","current_a"
"2025-07-30 09:20:00","34.673","3.719","101.058","7.97"
"2025-07-30 09:25:00","33.225","3.546","101.24","7.495"
"2025-07-30 09:30:00","33.711","3.687","101.106","7.217"
"2025-07-30 09:35:00","32.954","3.759","100.902","8.263"
"2025-07-30 09:40:00","33.234","3.899","101.301","8.067"
"2025-07-30 09:45:00","34.771","3.566","100.827","7.88"
"2025-07-30 09:50:00","34.078","3.884","100.918","8.929"
"2025-07-30 09:55:00","34.445","3.563","100.867","8.012"
"2025-07-30 10:00:00","34.032","3.816","100.943","7.807"
"2025-07-30 10:05:00","34.198","3.741","100.853","7.738"
"2025-07-30 10:10:00","35.03","3.947","101.176","7.528"
"2025-07-30 10:15:00","34.754","3.506","101.136","8.521"
"2025-07-30 10:20:00","33.029","4.484","100.986","8.297"
"2025-07-30 10:25:00","35.238","3.625","101.165","7.771"
"2025-07-30 10:30:00","34.369","3.572","101.107","8.425"
"2025-07-30 10:35:00","34.59","3.568","101.24","7.788"
"2025-07-30 10:40:00","35.023","3.602","100.859","8.109"
"2025-07-30 10:45:00","33.459","3.829","100.916","8.369"
"2025-07-30 10:50:00","34.587","3.737","101.19","8.415"
"2025-07-30 10:55:00","35.018","3.602","100.768","7.911"
"2025-07-30 11:00:00","34.353","3.533","101.135","8.647"
"2025-07-30 11:05:00","34.32","3.919","100.998","7.644"
"2025-07-30 11:10:00","34.78","3.683","101.104","8.995"
"2025-07-30 11:15:00","34.982","3.531","101.065","7.644"
"2025-07-30 11:20:00","34.649","4.51","100.951","7.778"
"2025-07-30 11:25:00","34.152","3.504","101.468","7.322"
"2025-07-30 11:30:00","35.375","3.578","100.7","8.159"
"2025-07-30 11:35:00","35.356","3.54","100.792","8.157"
"2025-07-30 11:40:00","34.904","3.526","101.158","8.183"
"2025-07-30 11:45:00","34.352","3.89","101.452","8.308"
"2025-07-30 11:50:00","35.842","3.517","100.888","8.136"
"2025-07-30 11:55:00","35.477","4.232","101.163","8.254"
"2025-07-30 12:00:00","34.452","3.72","100.638","8.378"
"2025-07-30 12:05:00","33.772","4.107","100.937","8.64"
"2025-07-30 12:10:00","34.734","17.333","101.024","8.493"
"2025-07-30 12:15:00","34.476","3.623","101.068","8.25"
"2025-07-30 12:20:00","34.091","3.965","100.747","7.821"
"2025-07-30 12:25:00","34.923","3.763","101.175","7.807"
"2025-07-30 12:30:00","34.965","3.602","101.3","8.064"
"2025-07-30 12:35:00","34.9","3.914","101.089","7.745"
"2025-07-30 12:40:00","34.718","3.709","101.033","8.303"
"2025-07-30 12:45:00","33.751","3.654","101.303","8.014"
"2025-07-30 12:50:00","35.219","3.566","101.402","8.29"
"2025-07-30 12:55:00","34.393","3.727","101.377","8.019"
"2025-07-30 13:00:00","34.981","3.702","101.105","8.174"
"2025-07-30 13:05:00","33.904","6.091","101.168","8.193"
"2025-07-30 13:10:00","35.085","4.135","100.884","7.817"
"2025-07-30 13:15:00","34.505","3.871","101.342","8.281"
"2025-07-30 13:20:00","33.896","3.646","101.11","7.732"
"2025-07-30 13:25:00","33.944","3.674","100.957","7.55"
"2025-07-30 13:30:00","33.952","4.331","100.864","7.614"
"2025-07-30 13:35:00","33.525","3.821","101.339","8.138"
"2025-07-30 13:40:00","33.458","3.896","100.942","7.679"
"2025-07-30 13:45:00","33.911","3.743","101.11","8.061"
"2025-07-30 13:50:00","34.463","3.57","100.945","8.25"
"2025-07-30 13:55:00","34.162","3.561","100.993","9.077"
"2025-07-30 14:00:00","34.218","3.556","100.932","8.081"
"2025-07-30 14:05:00","34.478","4.197","101.31","7.669"
"2025-07-30 14:10:00","33.87","3.753","100.996","7.849"
"2025-07-30 14:15:00","34.391","4.028","101.137","7.875"
"2025-07-30 14:20:00","34.373","3.54","100.898","8.578"
"2025-07-30 14:25:00","34.382","4.161","101.085","8.22"
"2025-07-30 14:30:00","33.674","4.219","101.463","7.968"
"2025-07-30 14:35:00","32.944","3.792","100.694","8.165"
"2025-07-30 14:40:00","33.05","3.725","101.061","7.812"
"2025-07-30 14:45:00","33.42","3.882","100.926","7.984"
"2025-07-30 14:50:00","33.372","4.113","101.29","7.612"
"2025-07-30 14:55:00","32.985","3.576","101.191","7.349"
"2025-07-30 15:00:00","33.487","4.078","101.253","8.507"
"2025-07-30 15:05:00","32.91","4.152","101.428","8.505"
"2025-07-30 15:10:00","33.515","3.605","101.087","7.597"
"2025-07-30 15:15:00","32.475","3.611","101.067","8.28"
"2025-07-30 15:20:00","32.81","3.752","101.193","8.579"
"2025-07-30 15:25:00","33.25","3.526","100.995","8.647"
"2025-07-30 15:30:00","33.217","3.876","100.979","8.605"
"2025-07-30 15:35:00","32.568","3.833","100.889","7.79"
"2025-07-30 15:40:00","32.853","3.786","101.049","8.053"
"2025-07-30 15:45:00","32.711","3.528","100.747","8.212"
"2025-07-30 15:50:00","31.28","4.035","100.886","8.347"
"2025-07-30 15:55:00","32.417","3.782","100.983","7.957"
